,atom_idx_1,edge_id,atom_idx_2,fragment_name_1,fragment_index_1,fragment_name_2,fragment_index_2
0,0,0,2,C,0,c1cc[nH]c1,52
1,0,1,4,C,0,c1cc[nH]c1,52
2,0,2,3,C,0,c1cc[nH]c1,52
0,1,0,4,N[SH](=O)=O,79,c1cc[nH]c1,52
1,1,1,0,N[SH](=O)=O,79,c1cc[nH]c1,52
2,1,2,1,N[SH](=O)=O,79,c1cc[nH]c1,52
0,0,0,0,C=O,2,c1cc[nH]c1,52
1,0,1,2,C=O,2,c1cc[nH]c1,52
2,0,2,4,C=O,2,c1cc[nH]c1,52
0,0,0,1,C=O,2,O=CO,13
0,1,0,0,CO,4,[CH]O,36
1,0,1,0,CO,4,[CH]O,36
0,0,0,0,C,0,[CH]N,95
0,0,0,1,C,0,c1c[nH]cn1,25
1,0,1,3,C,0,c1c[nH]cn1,25
2,0,2,2,C,0,c1c[nH]cn1,25
0,0,0,0,[CH]N,95,[CH]NC=O,46
1,0,1,2,[CH]N,95,[CH]NC=O,46
0,0,0,2,CO,4,[CH]NC=O,46
1,1,1,2,CO,4,[CH]NC=O,46
2,0,2,0,CO,4,[CH]NC=O,46
0,1,0,2,O=CO,13,[CH]NC=O,46
1,1,1,0,O=CO,13,[CH]NC=O,46
0,0,0,0,C=O,2,CO,4
1,0,1,1,C=O,2,CO,4
0,0,0,2,C,0,[CH]1CNCCN1,72
1,0,1,5,C,0,[CH]1CNCCN1,72
2,0,2,0,C,0,[CH]1CNCCN1,72
0,0,0,0,CO,4,[CH]1CNCCN1,72
0,0,0,2,C,0,CNC=O,8
1,0,1,0,C,0,CNC=O,8
0,0,0,1,C,0,C[CH]O,87
0,0,0,3,C,0,[CH]1COCCN1,86
1,0,1,5,C,0,[CH]1COCCN1,86
2,0,2,0,C,0,[CH]1COCCN1,86
0,0,0,0,C=O,2,[CH]1COCCN1,86
1,0,1,5,C=O,2,[CH]1COCCN1,86
0,1,0,1,C[CH]NC=O,44,C[CH]NC=O,44
1,1,1,3,C[CH]NC=O,44,C[CH]NC=O,44
2,3,2,1,C[CH]NC=O,44,C[CH]NC=O,44
0,3,0,1,C[CH]NC=O,44,O=CO,13
1,1,1,1,C[CH]NC=O,44,O=CO,13
0,0,0,1,C=O,2,CNC,23
0,0,0,2,C=O,2,CNC=O,8
1,0,1,0,C=O,2,CNC=O,8
0,2,0,3,CNC=O,8,[CH]1C[CH]NC1,76
1,0,1,2,CNC=O,8,[CH]1C[CH]NC1,76
2,2,2,2,CNC=O,8,[CH]1C[CH]NC1,76
0,0,0,0,F,9,[CH]1C[CH]NC1,76
0,0,0,0,C,0,CO,4
1,0,1,1,C,0,CO,4
0,0,0,0,C,0,C,0
0,0,0,0,C,0,CN,15
1,0,1,1,C,0,CN,15
0,0,0,1,C,0,NC=O,6
0,1,0,0,C1CC1,20,CNC=O,8
1,0,1,2,C1CC1,20,CNC=O,8
2,0,2,0,C1CC1,20,CNC=O,8
0,1,0,1,C1CC1,20,NC=O,6
1,0,1,1,C1CC1,20,NC=O,6
2,0,2,0,C1CC1,20,NC=O,6
0,0,0,5,NC=O,6,O=C1C[CH]CN1,58
1,0,1,3,NC=O,6,O=C1C[CH]CN1,58
2,1,2,3,NC=O,6,O=C1C[CH]CN1,58
0,0,0,4,C,0,O=C1C[CH]CN1,58
1,0,1,3,C,0,O=C1C[CH]CN1,58
2,0,2,5,C,0,O=C1C[CH]CN1,58
0,0,0,0,C,0,N,5
0,1,0,0,O=CO,13,[CH]N,95
0,0,0,0,N,5,N,5
0,1,0,0,CC=O,43,c1c[nH]cn1,25
1,1,1,1,CC=O,43,c1c[nH]cn1,25
2,1,2,3,CC=O,43,c1c[nH]cn1,25
0,0,0,0,[CH]O,36,c1c[nH]cn1,25
1,0,1,1,[CH]O,36,c1c[nH]cn1,25
2,0,2,3,[CH]O,36,c1c[nH]cn1,25
0,0,0,0,[CH]O,36,[CH]O,36
0,0,0,3,CO,4,C[CH]NC=O,44
1,1,1,3,CO,4,C[CH]NC=O,44
2,0,2,1,CO,4,C[CH]NC=O,44
0,0,0,3,C,0,C1CNCCN1,19
1,0,1,2,C,0,C1CNCCN1,19
2,0,2,5,C,0,C1CNCCN1,19
0,1,0,0,O=CO,13,[CH]O,36
0,0,0,0,C=O,2,CN,15
1,0,1,1,C=O,2,CN,15
0,5,0,0,C1COCCN1,29,C=O,2
0,0,0,0,C,0,[CH]O,36
0,1,0,1,CN,15,O=S=O,12
0,0,0,1,N,5,O=S=O,12
0,0,0,5,N,5,O=C1C[CH]CN1,58
1,0,1,3,N,5,O=C1C[CH]CN1,58
0,0,0,5,C1CC1,20,O=C1C[CH]CN1,58
0,2,0,1,CNC=O,8,c1cncnc1,21
1,0,1,3,CNC=O,8,c1cncnc1,21
2,2,2,0,CNC=O,8,c1cncnc1,21
0,0,0,1,O,3,c1cncnc1,21
1,0,1,3,O,3,c1cncnc1,21
2,0,2,5,O,3,c1cncnc1,21
0,2,0,0,CNC=O,8,CO,4
1,2,1,1,CNC=O,8,CO,4
2,0,2,0,CNC=O,8,CO,4
0,2,0,0,CNC=O,8,[CH]O,36
1,0,1,0,CNC=O,8,[CH]O,36
0,0,0,0,CC,7,CNC=O,8
1,1,1,2,CC,7,CNC=O,8
2,1,2,0,CC,7,CNC=O,8
0,0,0,2,NC=O,6,c1nc[nH]n1,40
1,1,1,0,NC=O,6,c1nc[nH]n1,40
2,0,2,0,NC=O,6,c1nc[nH]n1,40
0,0,0,3,C,0,c1ccccc1,1
1,0,1,5,C,0,c1ccccc1,1
2,0,2,2,C,0,c1ccccc1,1
0,0,0,1,C,0,N[SH](=O)=O,79
0,0,0,2,C,0,[CH]1CCCN1,41
1,0,1,0,C,0,[CH]1CCCN1,41
2,0,2,4,C,0,[CH]1CCCN1,41
0,1,0,3,CNC,23,c1nnco1,83
1,1,1,0,CNC,23,c1nnco1,83
0,0,0,3,C,0,c1nnco1,83
1,0,1,0,C,0,c1nnco1,83
0,0,0,1,C,0,[CH]1[CH]CNC1,64
1,0,1,0,C,0,[CH]1[CH]CNC1,64
2,0,2,3,C,0,[CH]1[CH]CNC1,64
0,0,0,1,CO,4,[CH]1[CH]CNC1,64
1,0,1,0,CO,4,[CH]1[CH]CNC1,64
2,1,2,0,CO,4,[CH]1[CH]CNC1,64
0,0,0,3,O,3,[CH]1[CH]CNC1,64
1,0,1,1,O,3,[CH]1[CH]CNC1,64
2,0,2,0,O,3,[CH]1[CH]CNC1,64
0,0,0,0,CC,7,O,3
1,1,1,0,CC,7,O,3
0,0,0,0,C=O,2,O,3
0,0,0,1,C,0,C1COCCN1,29
1,0,1,3,C,0,C1COCCN1,29
2,0,2,5,C,0,C1COCCN1,29
0,0,0,1,CNC=O,8,NC=O,6
1,2,1,1,CNC=O,8,NC=O,6
0,0,0,1,C,0,O=CO,13
0,0,0,2,CN,15,CNC=O,8
1,0,1,0,CN,15,CNC=O,8
2,1,2,2,CN,15,CNC=O,8
0,2,0,0,CNC=O,8,CNC=O,8
1,0,1,0,CNC=O,8,CNC=O,8
2,2,2,2,CNC=O,8,CNC=O,8
0,2,0,1,CNC=O,8,O=CO,13
1,0,1,1,CNC=O,8,O=CO,13
0,1,0,0,C[CH]O,87,[CH]O,36
0,1,0,0,C[SH](=O)=O,34,N,5
0,0,0,0,C,0,[CH]1C[CH]NC1,76
1,0,1,2,C,0,[CH]1C[CH]NC1,76
2,0,2,3,C,0,[CH]1C[CH]NC1,76
0,0,0,0,CO,4,[CH]1C[CH]NC1,76
1,0,1,2,CO,4,[CH]1C[CH]NC1,76
2,1,2,0,CO,4,[CH]1C[CH]NC1,76
0,0,0,0,C=O,2,[CH]C,16
0,0,0,0,C,0,S,27
0,0,0,3,F,9,O=c1cc[nH]c(=O)[nH]1,88
1,0,1,2,F,9,O=c1cc[nH]c(=O)[nH]1,88
0,0,0,3,C,0,O=c1cc[nH]c(=O)[nH]1,88
1,0,1,7,C,0,O=c1cc[nH]c(=O)[nH]1,88
2,0,2,4,C,0,O=c1cc[nH]c(=O)[nH]1,88
0,1,0,0,CCC,17,S,27
0,0,0,4,C,0,c1cn[nH]c1,11
1,0,1,1,C,0,c1cn[nH]c1,11
2,0,2,3,C,0,c1cn[nH]c1,11
0,0,0,0,CN,15,c1cn[nH]c1,11
1,1,1,1,CN,15,c1cn[nH]c1,11
2,1,2,0,CN,15,c1cn[nH]c1,11
0,1,0,1,N[SH](=O)=O,79,c1cn[nH]c1,11
1,1,1,4,N[SH](=O)=O,79,c1cn[nH]c1,11
2,1,2,0,N[SH](=O)=O,79,c1cn[nH]c1,11
0,0,0,0,N,5,[CH]C,16
0,0,0,0,CC,7,[CH]C,16
1,1,1,0,CC,7,[CH]C,16
0,0,0,0,[CH]C,16,[CH]N,95
0,1,0,2,NC=O,6,[CH]NC=O,46
1,1,1,0,NC=O,6,[CH]NC=O,46
0,0,0,0,CO,4,[CH]1CCNC1,37
1,1,1,0,CO,4,[CH]1CCNC1,37
0,0,0,4,C=O,2,[CH]1CCNC1,37
1,0,1,0,C=O,2,[CH]1CCNC1,37
2,0,2,3,C=O,2,[CH]1CCNC1,37
0,0,0,0,C,0,C=O,2
0,5,0,0,O=C1CCCN1,96,[CH]O,36
0,2,0,1,C1CNCCNC1,78,O=S=O,12
1,5,1,1,C1CNCCNC1,78,O=S=O,12
0,5,0,1,C1COCCN1,29,O=S=O,12
0,0,0,2,C,0,C1CCNCC1,18
1,0,1,0,C,0,C1CCNCC1,18
2,0,2,3,C,0,C1CCNCC1,18
0,0,0,0,CC,7,N,5
1,1,1,0,CC,7,N,5
0,1,0,3,O=S=O,12,O=c1cc[nH]c(=O)[nH]1,88
1,1,1,4,O=S=O,12,O=c1cc[nH]c(=O)[nH]1,88
2,1,2,2,O=S=O,12,O=c1cc[nH]c(=O)[nH]1,88
0,1,0,0,CC(C)C,42,O,3
0,1,0,0,FC(F)F,30,[CH]O,36
0,0,0,0,C,0,O,3
0,0,0,2,[CH]C,16,[CH]NC=O,46
1,0,1,0,[CH]C,16,[CH]NC=O,46
0,0,0,0,CNC=O,8,[CH]NC=O,46
1,0,1,2,CNC=O,8,[CH]NC=O,46
2,2,2,0,CNC=O,8,[CH]NC=O,46
0,0,0,3,N,5,c1nc[nH]n1,40
1,0,1,0,N,5,c1nc[nH]n1,40
2,0,2,2,N,5,c1nc[nH]n1,40
0,0,0,0,C,0,c1nc[nH]n1,40
1,0,1,2,C,0,c1nc[nH]n1,40
2,0,2,3,C,0,c1nc[nH]n1,40
0,1,0,0,O=S=O,12,[CH]1CCOC1,74
0,0,0,0,C,0,c1nnn[nH]1,56
1,0,1,4,C,0,c1nnn[nH]1,56
0,0,0,1,C,0,O=S=O,12
0,0,0,2,C,0,[CH]1CCCO1,49
1,0,1,3,C,0,[CH]1CCCO1,49
2,0,2,0,C,0,[CH]1CCCO1,49
0,0,0,2,C,0,[CH]NC=O,46
1,0,1,0,C,0,[CH]NC=O,46
0,1,0,0,C[CH]O,87,[CH]N,95
0,0,0,0,CNC=O,8,[CH]N,95
1,2,1,0,CNC=O,8,[CH]N,95
