,fragment_name,fragment_frequency,fragment_atoms,fragment_index
0,C,7362323,"('C',)",0
65,c1ccccc1,2455466,"('C', 'C', 'C', 'C', 'C', 'C')",1
3,C=O,1755994,"('C', 'O')",2
8,O,1386612,"('O',)",3
7,CO,1232432,"('C', 'O')",4
17,N,967683,"('N',)",5
29,NC=O,942224,"('N', 'C', 'O')",6
58,CC,831608,"('C', 'C')",7
18,CNC=O,759740,"('C', 'N', 'C', 'O')",8
26,F,595097,"('F',)",9
196,c1ccncc1,548973,"('C', 'C', 'C', 'N', 'C', 'C')",10
94,c1cn[nH]c1,500405,"('C', 'C', 'N', 'N', 'C')",11
55,O=S=O,458090,"('O', 'S', 'O')",12
4,O=CO,377736,"('O', 'C', 'O')",13
477,Cl,369269,"('Cl',)",14
28,CN,348947,"('C', 'N')",15
84,[CH]C,308189,"('C', 'C')",16
92,CCC,298217,"('C', 'C', 'C')",17
102,C1CCNCC1,292160,"('C', 'C', 'C', 'N', 'C', 'C')",18
51,C1CNCCN1,270348,"('C', 'C', 'N', 'C', 'C', 'N')",19
35,C1CC1,248775,"('C', 'C', 'C')",20
56,c1cncnc1,236645,"('C', 'C', 'N', 'C', 'N', 'C')",21
147,[CH]1CCCNC1,211797,"('C', 'C', 'C', 'C', 'N', 'C')",22
24,CNC,205208,"('C', 'N', 'C')",23
789,c1ccoc1,174433,"('C', 'C', 'C', 'O', 'C')",24
10,c1c[nH]cn1,167406,"('C', 'C', 'N', 'C', 'N')",25
526,c1ccsc1,164737,"('C', 'C', 'C', 'S', 'C')",26
86,S,158627,"('S',)",27
121,O=[N+][O-],157990,"('O', 'N', 'O')",28
53,C1COCCN1,155334,"('C', 'C', 'O', 'C', 'C', 'N')",29
105,FC(F)F,151632,"('F', 'C', 'F', 'F')",30
140,[CH],149674,"('C',)",31
897,C#N,148738,"('C', 'N')",32
149,c1cscn1,146874,"('C', 'C', 'S', 'C', 'N')",33
80,C[SH](=O)=O,130789,"('C', 'S', 'O', 'O')",34
128,c1ncon1,125723,"('C', 'N', 'C', 'O', 'N')",35
6,[CH]O,124541,"('C', 'O')",36
96,[CH]1CCNC1,123722,"('C', 'C', 'C', 'N', 'C')",37
162,C=C,119379,"('C', 'C')",38
232,Br,119043,"('Br',)",39
61,c1nc[nH]n1,118729,"('C', 'N', 'C', 'N', 'N')",40
66,[CH]1CCCN1,117110,"('C', 'C', 'C', 'C', 'N')",41
103,CC(C)C,116390,"('C', 'C', 'C', 'C')",42
46,CC=O,115531,"('C', 'C', 'O')",43
23,C[CH]NC=O,109827,"('C', 'C', 'N', 'C', 'O')",44
486,c1cnoc1,109653,"('C', 'C', 'N', 'O', 'C')",45
11,[CH]NC=O,91337,"('C', 'N', 'C', 'O')",46
130,[CH]1CNCCO1,80745,"('C', 'C', 'N', 'C', 'C', 'O')",47
351,C1CCNC1,78883,"('C', 'C', 'C', 'N', 'C')",48
111,[CH]1CCCO1,75280,"('C', 'C', 'C', 'C', 'O')",49
175,c1nnc[nH]1,73635,"('C', 'N', 'N', 'C', 'N')",50
